,text_tokenized
975,"['make', 'fly', 'unobaseball', 'fun', 'crew', 'lead', 'plane', 'sing', 'happy', 'birthday', 'one', 'guy']"
976,"['receive', 'birthday', 'card', 'amaze', 'make', 'smile', 'joy', 'videos', 'thank']"
977,['thank']
978,"['thank', 'day', 'concert', 'watch', 'notice', 'fist', 'bumphigh', 'five', 'end', 'rock', 'version']"
979,"['boyfriend', 'love', 'awesome', 'vegas', 'event', 'way', 'help']"
980,"['thank', 'great', 'tool']"
981,"['know', 'crew', 'today', 'aus', 'pdx', 'awesome']"
982,"['sit', 'talk', 'tech', 'conference', 'awesome', 'guy', 'roll', 'across', 'luv', 'guy']"
983,"['thank', 'attention', 'ive', 'fly', 'southwest', 'years', 'havent', 'issue', 'past']"
984,"['huge', 'fan', 'love', 'tix', 'show']"
985,"['scott', 'thank', 'bottom', 'friends', 'see']"
986,"['now', 'fly', 'non', 'stop', 'cmhoak', 'daydream', 'trip', 'bayespecially', 'weather']"
987,"['yeehaw', 'find', 'another', 'plane', 'thx', 'listen', 'vent']"
988,"['unbelievable', 'thank']"
989,"['amaze', 'today', 'thank', 'reason', 'fly']"
990,"['one', 'better']"
991,"['great', 'cabin', 'crew', 'morning', 'great', 'smile', 'happy', 'staff', 'sign', 'happy', 'company', 'thank']"
992,"['thank', 'always', 'go', 'beyond', 'customer', 'service']"
993,"['great', 'news', 'today', 'finally', 'top', 'unserved', 'market', 'will']"
994,"['really', 'step', 'service']"
995,"['please', 'accept', 'apologies', 'lame', 'childish', 'tweet', 'didnt', 'deserve', 'remain', 'loyal', 'customer']"
996,"['owe', 'apology', 'tweet', 'frustration', 'constructive', 'criticism', 'fan', 'love', 'service']"
997,"['book', 'trip', 'cancun', 'baggage', 'feesbut', 'need', 'time', 'options']"
998,['thank']
999,"['great', 'thank', 'ill', 'send', 'follow']"
1000,"['love', 'forever']"
1001,"['rock', 'thank', 'reply', 'follow', 'rebooked', 'earlier']"
1002,['congrats']
1003,"['well', 'deserve']"
1004,"['always', 'tell', 'everyone', 'fly', 'southwest', 'congratulations']"
1005,"['friendliest', 'employees']"
1006,"['superb', 'choice', 'swa', 'rave', 'fan', 'even', 'take', 'stress', 'weatherrelate', 'flightd', 'glitches']"
1007,"['listen', 'center', 'open', 'seat', 'plan']"
1008,"['god', 'thank', 'send']"
1009,"['thank', 'prompt', 'response', 'will', 'email', 'late', 'flightr', 'today']"
1010,"['thank', 'show', 'weekend', 'utah']"
1011,"['love', 'southwest', 'youve', 'always', 'helpful', 'travel', 'lot', 'wmy', 'son', 'infanttoddler', 'great']"
1012,"['love', 'fly', 'southwest', 'attendants']"
1013,"['airlines', 'congrats']"
1014,"['guy', 'good', 'morning']"
1015,"['southwest', 'definitely', 'favorite', 'fly']"
1016,['congratulations']
1017,"['guess', 'ashley', 'shes', 'great', 'job', 'present']"
1018,"['thank', 'integrate', 'passbook', 'ios', 'work', 'better', 'now']"
1019,"['birthday', 'huge', 'fan', 'anyway', 'ticket']"
1020,"['thank', 'agent', 'board', 'atlaus', 'leave', 'wallet', 'inbound', 'find']"
1021,"['iphone', 'app', 'now', 'passbook', 'support', 'whoot', 'little', 'things', 'life']"
1022,"['aww', 'thank', 'love']"
1023,"['mco', 'thank']"
1024,"['new', 'logo', 'go', 'look', 'amaze', 'airplanes']"
1025,"['appreciate', 'reply', 'sorry', 'keep', 'wait', 'laura', 'agent', 'will', 'shortlycb']"
1026,"['love', 'guy', 'take', 'airlines', 'weekmakes', 'love', 'appreciate', 'yall']"
1027,"['send', 'thank', 'respond', 'response', 'timely', 'miss']"
1028,"['thank', 'go', 'guy', 'rock']"
1029,"['thx', 'ops', 'agt', 'rich', 'westagard', 'att', 'den', 'airportheld', 'even', 'save', 'seat', 'bus', 'select']"
1030,"['yall', 'real', 'mvp', 'price']"
1031,"['love', 'bridesmaid', 'dance', 'cant', 'wait', 'fly', 'puerto', 'vallarta', 'kick', 'unite', 'ass']"
1032,"['understand', 'military', 'families', 'unpredictable', 'change', 'pound']"
1033,"['tiks', 'omg', 'love', 'plz', 'die']"
1034,"['look', 'forward', 'use', 'passbook', 'fly', 'weeks']"
1035,"['fantastic', 'thank']"
1036,"['great', 'tonightgreat', 'service', 'time', 'make', 'happy']"
1037,"['guy', 'clever']"
1038,"['amaze', 'view', 'approach', 'lax', 'tonight']"
1039,"['really', 'appreciate', 'alls', 'commercial', 'today']"
1040,"['thank', 'reply', 'send', 'conf', 'love', 'aviation', 'southwest', 'want', '18th', 'fly', 'swa', 'day']"
1041,"['thank', 'take', 'notch', 'leinenkugels']"
1042,"['thank', 'leave', 'job', 'run', 'thru', 'airport', 'catch', 'connect']"
1043,"['thank', 'make', 'night', 'wait', 'trip', 'next', 'week']"
1044,"['file', 'now', 'thank', 'response']"
1045,"['one', 'heck']"
1046,"['woohoo', 'make', 'day', 'look', 'couldnt', 'find', 'thank']"
1047,"['great', 'damion']"
1048,"['whoa', 'thank', 'thats', 'want', 'hear', 'early', 'come', 'thank', 'reply']"
1049,"['thx', 'finger', 'cross', 'find']"
1050,"['far', 'good']"
1051,"['love', 'hear', 'live']"
1052,"['thats', 'fly', 'yall', 'personalize', 'service']"
1053,"['well', 'time', 'tweet', 'board', 'will', 'listen', 'way', 'home']"
1054,"['awesome', 'thank']"
1055,"['luckily', 'people', 'work', 'bso', 'midway', 'attentive', 'find', 'bag', 'punta', 'cana']"
1056,"['pit', 'gate', 'big', 'shout', 'lady', 'try', 'track']"
1057,"['great', 'experience', 'customer', 'service', 'team', 'thank', 'alist']"
1058,"['way', 'know', 'check', 'bag', 'curb', 'awesome', 'want', 'sure', 'high', 'five']"
1059,"['thank', 'handle', 'glad', 'southwest', 'care', 'flyers', 'think']"
1060,"['bingo', 'thank', 'bring', 'attention', 'well', 'happy', 'reach', 'noah', 'make', 'right']"
1061,"['loveluv', 'addition', 'passbook', 'option']"
1062,"['thank', 'follow', 'glad', 'bag', 'back']"
1063,"['amaze', 'service', 'stewardesses', 'den', 'cun', 'cun', 'atl', 'atl', 'lax', 'thank']"
1064,"['lovedragonss', 'lol', 'sorry', 'see', 'now', 'lauren', 'god', 'ahhhh']"
1065,"['twice', 'year', 'hard', 'vacation', 'time', 'work', 'sometimes', 'love', 'fly', 'guy']"
1066,"['give', 'ticket', 'see', 'cant', 'even', 'right', 'now', 'haha', 'thank']"
1067,"['share', 'value', 'common']"
1068,"['will', 'thank']"
1069,"['thank', 'follow', 'appreciate']"
1070,"['arrive', 'juan', 'early', 'thank', 'great', 'luv']"
1071,"['thank', 'already', 'subscribe', 'account', 'receive', 'promo', 'code', 'last', 'month', 'expire', 'new', 'offer']"
1072,"['thank', 'kindly']"
1073,"['great', 'job', 'celebrate', 'industry', 'another', 'reason', 'nut']"
1074,"['add', 'support', 'ios', 'application', 'finally', 'add', 'collection']"
1075,"['really', 'crave', 'pretzels', 'please', 'send']"
1076,"['allow', 'change', 'fee', 'yay', 'will', 'always', 'book', 'change']"
1077,"['ready', 'inspire']"
1078,"['hmmm', 'caribbean', 'sound', 'warm', 'thank']"
1079,"['apology', 'accept']"
1080,"['love', 'girl', 'dance', 'make', 'laugh', 'every', 'time', 'now', 'want', 'take', 'trip']"
1081,"['yes', 'bag', 'come', 'straight', 'hotel', 'thank', 'guy', 'rock']"
1082,['thank']
1083,"['lovedragonss', 'gosh']"
1084,"['lovedragonss', 'lauren', 'scream']"
1085,"['lovedragonss', 'lauren', 'omg', 'dead', 'happy', 'yes', 'yes']"
1086,['youre']
1087,"['lovedragonss', 'lauren', 'omg']"
1088,"['lovedragonss', 'holy', 'fuckinf', 'shit']"
1089,"['lovedragonss', 'god', 'lauren', 'god', 'god']"
1090,"['thank', 'thank', 'thank']"
1091,"['gosh', 'seriously', 'make', 'day', 'week', 'year', 'one', 'will', 'appreciate']"
1092,"['pleasantly', 'board', 'time', 'morning', 'flynashville', 'good', 'job']"
1093,"['awesome', 'send', 'now']"
1094,"['thank', 'time']"
1095,"['land', 'thank', 'take', 'care']"
1096,"['thank', 'info', 'good', 'day']"
1097,"['hey', 'least', 'guy', 'honest', 'customers', 'unlike']"
1098,"['worry', 'disappointments', 'better', 'lounge', 'disappoint']"
1099,"['thank', 'back', 'big', 'thank', 'pilot', 'fly', 'snow', 'land', 'ice']"
1100,"['last', 'night', 'thank', 'follow']"
1101,"['win', 'always', 'save', 'day', 'direct']"
1102,"['deice', 'important']"
1103,"['thank', 'finally', 'make', 'board', 'pass', 'work', 'passbook']"
1104,"['love', 'appreciate', 'fact', 'guy', 'rarely', 'cancel', 'time', 'need', 'cancel', 'flightlation', 'time']"
1105,"['neveind', 'find', 'way', 'thank', 'make', 'process', 'painless']"
1106,['thank']
1107,"['airlines', 'aka']"
1108,"['able', 'change', 'without', 'fee', 'two', 'free', 'check', 'bag']"
1109,"['wonderfully', 'agent', 'help', 'wish', 'remember', 'name', 'give', 'proper', 'kudos']"
1110,"['hot', 'stewardess', 'flip']"
1111,"['phi', 'den', 'staff', 'great', 'crew']"
1112,"['customer', 'service']"
1113,"['big', 'thank', 'team', 'family', 'emerg', 'day', 'ticket', 'experience', 'excellent', '1st', 'time', 'fly', 'yall', 'last']"
1114,"['total', 'win', 'happy', '7th', 'bday', 'intercom', 'chocolate', 'kiss', 'chance', 'hand', 'snacksthank']"
1115,"['thank', 'excellent', 'response', 'time', 'assistance', 'set']"
1116,"['cant', 'wait', 'thank', 'response']"
1117,"['cover', 'thank']"
1118,"['thank', 'help', 'resolve', 'problem', 'shannon', 'rock', 'even', 'though', 'rhonda', 'didnt']"
1119,"['thank', 'will', 'see', 'happen']"
1120,"['glad', 'finally', 'resolve', 'bad', 'cant', 'free', 'voucher', 'mine', 'friend', 'travel', 'next', 'time']"
1121,"['good', 'now', 'go', 'make', 'time', 'actually', 'wifi', 'right', 'now']"
1122,"['thank', 'assistanceyou', 'guy', 'rock']"
1123,"['hey', 'yea', 'thrueverything', 'good', 'now', 'well', 'days', 'voucher', 'go', 'appreciate']"
1124,"['today', 'rsw', 'grr', 'able', 'snag', 'free', 'agent', 'check', 'look', 'finally', 'set']"
1125,"['yeah', 'figure', 'thank']"
1126,"['thank', 'drink', 'ticket', 'hook', 'cant', 'wait', 'first', 'international', 'nas']"
1127,"['saw', 'black', 'history', 'month', 'commercial', 'excite', 'support', 'monthwill', 'grant', 'free', 'trip']"
1128,"['though', 'work', 'another', 'major', 'love', 'black', 'history', 'month', 'commercial', 'thank']"
1129,"['black', 'history', 'commercial', 'really', 'sweet', 'well']"
1130,['respect']
1131,['thank']
1132,"['add', 'thank']"
1133,"['great', 'thank', 'luck', 'deal', 'horrible', 'winter']"
1134,['thank']
1135,"['thank', 'take', 'care', 'today', 'michele', 'rock', 'customer', 'service', 'gate', 'hou']"
1136,['thank']
1137,"['despite', 'mother', 'natures', 'efforts', 'southwestairs', 'goodhumored', 'folks', 'home', 'safely', 'area', 'heavily', 'affect', 'winter', 'storm']"
1138,"['awesome', 'thank']"
1139,"['really', 'appreciate', 'follow', 'always', 'fly', 'yall', 'reason']"
1140,"['piece', 'find', 'safely', 'deliver', 'home', 'afternoon']"
1141,"['paso', 'dealsmay']"
1142,"['thank', 'ill', 'keep', 'check', 'try', 'book', 'first', 'disney', 'world', 'vacation']"
1143,"['thank', 'know', 'yall', 'cant', 'control', 'weather', 'appreciate', 'yall', 'work', 'rebooked', 'last', 'two', 'days']"
1144,"['timeand', 'time', 'next']"
1145,"['worry', 'rather', 'safe', 'grind', 'take', 'chance', 'yes', 'tomorrow', 'bna', 'reopen']"
1146,"['great', 'job', 'celebrate', 'today', 'airport', 'another', 'reason', 'nut']"
1147,['awwweesssooomee']
1148,"['amaze', 'customer', 'service', 'well', 'will', 'definitely', 'fly', 'guy', 'instrument', 'involve']"
1149,"['social', 'media', 'team', 'say', 'sorry', 'thankfully', 'submit', 'complaint', 'resolution', 'amaze', 'rep', 'call']"
1150,"['know', 'whats', 'commercial', 'another', 'thing', 'add', 'reason', 'fly']"
1151,"['employees', 'great']"
1152,"['thank', 'reply', 'something', 'phone', 'becuz', 'drop', 'call', 'hours', 'hold', 'ring']"
1153,"['thank', 'vouchers', 'long', 'wait', 'runway', 'night', 'bwi', 'really', 'appreciate']"
1154,"['thank', 'finally', 'second', 'time']"
1155,"['haha', 'thank', 'explanation']"
1156,"['25yrs', 'shes', 'live', 'swa', 'always', 'take', 'see', 'love']"
1157,"['send', 'thank']"
1158,"['thank', 'step', 'game', 'make', 'day', 'night', 'elevator', 'music', 'appreciate']"
1159,"['talk', 'customer', 'service', 'make', 'appreciate', 'even', 'learn']"
1160,"['thank', 'response', 'able', 'situation', 'resolve', 'fan', 'mother', 'nature', 'today']"
1161,"['thank', 'think', 'weve', 'figure']"
1162,"['1155am', 'look', 'something', 'tomorrow', 'anything', 'available']"
1163,"['square', 'away', 'thank', 'inside', 'help']"
1164,"['another', 'great', 'crew', 'las', 'vegaschicago', 'thank']"
1165,"['finally', 'thank']"
1166,"['thank', 'put', 'tomorrow', 'dont', 'faith', 'itll', 'grind', 'tomorrow', 'though']"
1167,"['love', 'southwest', 'payton']"
1168,"['worry', 'youre', 'already', 'cancel', 'biz', 'trip', 'still', 'luv']"
1169,"['worry', 'thru', 'eventually', 'curious', 'luck', 'deal', 'weather']"
1170,"['yes', 'thank', 'oct', '25oct']"
1171,"['always', 'fly']"
1172,"['thank', 'someone', 'finally', 'answer', 'able', 'change', 'cancel', 'ice', 'thank', 'response']"
1173,"['thank', 'ton']"
1174,"['luv', 'will', 'sing', 'song', 'yall', 'finally', 'plane', 'back']"
1175,['delight']
1176,"['time', 'thank']"
1177,"['finally', 'integration', 'passbook', 'great', 'valentine', 'gift', 'better', 'chocolate', 'heart']"
1178,"['guy', 'awesome']"
1179,"['karen', 'customer', 'service', 'helpful', 'thank', 'provide', 'one', 'bright', 'spot', 'frustrate', 'situation']"
1180,['thank']
1181,"['good', 'eventually', 'take', 'land', 'safely', 'free', 'cup', 'wine', 'thx']"
1182,"['youve', 'mess', 'dtw', 'staff', 'great']"
1183,"['great', 'job', 'passbook', 'integration', 'itll', 'really', 'help', 'streamline', 'commute', 'fran']"
1184,"['great', 'job', 'look', 'forward', 'next', 'trip', 'able', 'use', 'new', 'feature']"
1185,['thank']
1186,"['outstanding', 'customer', 'service', 'thank']"
1187,['finally']
1188,"['beautiful', 'thank', 'ton']"
1189,"['thank', 'yall', 'expect', 'operational', 'tomorrow']"
1190,"['work', 'update']"
1191,"['yesterday', 'way', 'ewr', 'fll', 'takeoff']"
1192,"['thank', 'information']"
1193,['great']
1194,"['thank', 'great', 'recap', 'wouldnt', 'able', 'sleep', 'nervous', 'bad', 'guy', 'away']"
1195,"['proud', 'fly', 'jet', 'blue']"
1196,"['awesome', 'thank', 'hold', 'now']"
1197,"['chance', 'actually', 'fly', 'today', 'cold', 'rainy', 'weather', 'south', 'place']"
1198,"['see', 'work', 'pick', 'trip', 'two', 'type']"
1199,"['thank', 'quick', 'reply', 'want', 'make', 'sure', 'wasnt', 'account']"
1200,"['wouldnt', 'mind', 'pay', 'snack', 'tix', 'great', 'job', 'guy']"
1201,"['napkins', 'pretty', 'say']"
1202,"['ruthslobodin', 'wed', 'sure', 'love', 'see', 'ruth', 'know', 'well']"
1203,"['dont', 'need', 'cut', 'service', 'charge', 'give', 'better', 'fly', 'experience', 'thats', 'use', 'jet', 'blue', 'first', 'place']"
1204,"['long', 'look', 'blue', 'eye']"
1205,['ondemand']
1206,"['wowthx', 'think', 'greg', 'hear', 'amaze', 'weve', 'hear', 'thx', 'info']"
1207,"['annnndddd', 'book', 'easy']"
1208,['thank']
1209,"['will', 'glow', 'crew', 'aircraft', 'sparkle', 'guy', 'know', 'right', 'might', 'good', 'partnership']"
1210,"['glad', 'feel', 'free', 'steal']"
1211,"['blue', 'help', 'bring', 'color', 'eye', 'promise', 'didnt', 'eat', 'free', 'snack']"
1212,"['thank', 'customers', 'stay', 'loyal', 'check', 'land']"
1213,"['a320', 'pull', 'gate', 'sunrises', 'morning']"
1214,"['thx', 'quick', 'response', 'yep', 'try', 'cant', 'find', 'input', 'confirmation']"
1215,"['wish', 'everyone', 'felt']"
1216,"['sound', 'great', 'thank']"
1217,"['see', 'veterans', 'advantage', 'program', 'gate', 'mcokeep', 'good', 'work']"
1218,"['incredible', 'team']"
1219,"['thank', 'find', 'lower', 'fare', 'already', 'carriers', 'direct', 'july']"
1220,"['thank', 'kind', 'word', 'janna', 'trueblue', 'now', 'feel', 'boss']"
1221,"['board', 'back', 'airplane', 'first', 'boss']"
1222,"['sooo', 'earlier', 'say', 'couldnt', 'fly', 'school', 'trip', 'now']"
1223,"['always', 'amaze']"
1224,"['great', 'will', 'land', 'jfk']"
1225,"['haha', 'know', 'time', 'lane', 'open']"
1226,['sure']
1227,"['second', 'call', 'customer', 'service', 'fifth', 'person', 'talk', 'amaze', 'rep', 'fix', 'mins']"
1228,['thank']
1229,"['make', 'two', 'lol']"
1230,"['happy', 'anniversary', 'hard', 'believe', 'youre', 'youre']"
1231,"['super', 'smooth', 'land', 'nicely']"
1232,"['fyi', 'onboard', 'comfortably', 'travel', 'jfk', 'seat', 'problem', 'say', 'thank', 'make', 'fly', 'civilize']"
1233,['follow']
1234,"['try', 'make', 'look', 'bad', 'website', 'say', 'due', 'weather', 'actually']"
1235,"['btw', 'thank', 'respond', 'quickly']"
1236,"['find', 'camera', 'thank', 'rock']"
1237,"['stop', 'please', 'fleet', 'fleek']"
1238,"['gotcha', 'thank', 'update', 'ready', 'whenever', 'enjoy', 'even']"
1239,"['well', 'thankfully', 'theyve', 'food', 'court', 'herewhen', 'will', 'update', 'post']"
1240,"['work', 'now']"
1241,"['prefer', 'similar', 'picture', 'full', 'e190', 'tail', 'great', 'shoot']"
1242,"['relieve', 'fly', 'listen', 'everyone', 'neighbor', 'gate', 'bitch', 'spirit', 'airlines', 'better']"
1243,"['fleet', 'fleek', 'yall', 'better']"
1244,"['great', 'bahamas', 'even', 'bad', 'weather', 'northeast', 'thank', 'great', 'service']"
1245,"['excite', 'hear', 'move', 'towards', 'international', 'travel', 'long', 'beach', 'airport']"
1246,"['thank', 'talk', 'article', 'chat', 'come', 'great']"
1247,"['guy', 'operate', 'world', 'class', 'company', 'thank']"
1248,"['love', 'service', 'staff', 'today', 'good', 'service', 'go', 'way', 'appreciate', 'preciation']"
1249,"['dont', 'show', 'larry', 'fedora', 'fleet', 'fleek']"
1250,"['lolol', 'smyc88']"
1251,"['show', 'sense', 'humor', 'tongueincheek', 'etiquette', 'videos']"
1252,"['true', 'maybe', 'wish', 'expedite', 'security', 'haha']"
1253,"['fleet', 'fleek']"
1254,"['power', 'move', 'fleet', 'fleek']"
1255,"['lmfaooo', 'fleet', 'fleek']"
1256,"['lol', 'guy', 'months', 'agojetblue', 'fleet', 'fleek']"
1257,"['wow', 'keep', 'time']"
1258,"['always', 'look', 'forward', 'look', 'forward', 'welcome', 'onboard']"
1259,"['toss', 'ticketits', 'great', 'sure', 'every', 'college', 'student', 'follow', 'will', 'will', 'rock', 'wit']"
1260,"['fleet', 'fleek', 'lol', 'wow']"
1261,"['lovely', 'fleet', 'fleek']"
1262,"['yall', 'try', 'fleet', 'fleek']"
1263,"['family', 'excite', 'see']"
1264,"['love', 'fly', 'question', 'one', 'plan', 'call', 'jet']"
1265,"['sound', 'good']"
1266,"['fleet', 'fleek', 'jet', 'blizzue', 'hizouse']"
1267,"['excite', 'first', 'time', 'fly', 'jfk', 'look', 'forward']"
1268,"['hahah', 'love', 'fly', 'jet', 'blue', 'tho']"
1269,"['fleet', 'fleek', 'yasss', 'tell']"
1270,"['lmfao', 'love']"
1271,"['little', 'time', 'thatlol', 'well', 'actually', 'lot', 'days', 'excite']"
1272,"['lmao', 'fleet', 'fleek']"
1273,['well']
1274,"['fleet', 'fleek', 'new', 'fav']"
1275,"['hopefully', 'now', 'application', 'donut', 'designer', 'will', 'finally', 'proper', 'channel']"
1276,"['look', 'cool']"
1277,"['definitely', 'lot', 'announcements', 'app', 'great']"
1278,['bet']
1279,"['thank', 'appreciate']"
1280,"['chair', 'use', 'tlc', 'power', 'outlets', 'area', 'bonus', 'head']"
1281,"['thank', 'use', 'phone', 'instead', 'computer', 'work', 'thx']"
1282,"['alright', 'alternatively', 'youd', 'charter', 'private', 'jet', 'pitt', 'will', 'gladly', 'accept']"
1283,"['good', 'know', 'thank']"
1284,"['thank', 'quick', 'response', 'try', 'request', 'abassinet', 'son', 'great', 'help', 'request']"
1285,"['mark', 'great', 'handle', 'bag', 'issue']"
1286,"['jeffhofmann', 'good', 'one', 'indeed', 'jetblues', 'finest', 'day', 'history']"
1287,"['thank', 'call', 'right', 'now']"
1288,"['haha', 'thank', 'guy', 'great', 'unlike']"
1289,['thank']
1290,"['book', 'work', 'add', 'upgrade', 'seat', 'need', 'upgrade', 'receipt']"
1291,"['thank', 'free', 'flyfi', 'make', 'already', 'great', 'even', 'better']"
1292,['thank']
1293,"['wish', 'luck', 'enjoy', 'luxurious', 'free', 'amount', 'leg', 'space', 'thank']"
1294,"['great', 'see', 'redsox', 'plane', 'reminder', 'side', 'side', 'jfk']"
1295,"['dca', 'awesome', 'attendant', 'robert']"
1296,"['thank', 'actually', 'birder', 'love', 'need', 'outside', 'shouldnt', 'hard', 'trap', 'move']"
1297,"['jfksfo', 'pure', 'awesomeness', 'mint', 'class', 'tim', 'attendant', 'airlines', 'take', 'note']"
1298,"['last', 'sleep', 'back', 'jfk', 'tomorrow', 'night', 'look', 'forward', 'another', 'amaze']"
1299,"['free', 'wifi']"
1300,"['mint', 'seat', 'awesome', 'business', 'class']"
1301,"['thank', 'home', 'despite', 'odds', 'reunite', 'delinquent', 'southwest', 'luggage', 'now', 'homeward']"
1302,"['thank', 'safety', 'first']"
1303,"['kudos', 'well', 'deserve', 'wish', 'rest', 'experience', 'today', 'measure', 'example']"
1304,"['wake', 'call', 'board', 'time', 'please', 'large', 'coffee', 'extralight', 'extra', 'sweet', 'please']"
1305,"['thank', 'new', 'big', 'fan']"
1306,"['wifi', 'thank']"
1307,"['pilot', 'dont', 'worry', 'folks', 'theres', 'backup', 'backup', 'every', 'part', 'plane', 'thank', 'guy']"
1308,['thank']
1309,['awesome']
1310,"['thank', 'help']"
1311,"['love', 'guy']"
1312,"['youre', 'still']"
1313,"['please', 'give', 'permissions', 'world', 'miss', 'oscars', 'right', 'now', 'awful']"
1314,"['thank', 'make']"
1315,"['thank', 'quick', 'response', 'finger', 'cross', 'plane']"
1316,"['thank', 'finger', 'cross']"
1317,"['aha', 'thank', 'worry', 'might', 'seat', 'will', 'airport', 'tomorrow']"
1318,"['glad', 'hear', 'thank', 'share', 'video']"
1319,"['thank', 'response', 'hopeful']"
1320,"['thank', 'refund', 'change', 'fee', 'recent', 'affect', 'bizarre', 'winter', 'excellent', 'customer', 'service', 'focus']"
1321,"['thank', 'help', 'cant', 'wait', 'travel', 'snow']"
1322,"['thank', 'answer', 'question']"
1323,"['cool', 'stairs', 'jfk', 'walk', 'short', 'distance', 'stairs']"
1324,"['record', 'less', '10minute', 'turnaround', 'time', 'answer', 'question', 'rock']"
1325,"['btw', 'robin', 'hay', 'speak', 'next', 'months', 'aviation', 'give', 'shout', 'twitter', 'team', 'rock']"
1326,"['thank', 'respond']"
1327,"['thank', 'ticket', 'stand', 'hope', 'make', 'finger', 'cross']"
1328,"['thank', 'guy']"
1329,"['love', 'always']"
1330,"['great', 'experience', 'sfo', 'jfk', 'seat', 'service', 'food', 'everything', 'top', 'quality', 'will', 'back', 'soon']"
1331,"['thank', 'replyingi', 'feel', 'little', 'better', 'well', 'see', 'go']"
1332,"['guy', 'rock']"
1333,"['email', 'twitter', 'handle', 'follow', 'gmail']"
1334,['awesome']
1335,"['fly', 'jet', 'blue']"
1336,"['start', 'include', 'pto', 'getaway', 'package']"
1337,"['thank', 'will', 'use', 'extra', 'time', 'shop', 'somebody', 'say', 'duty', 'free']"
1338,"['jetblues', 'book', 'problems', 'experience', 'pretty', 'great']"
1339,"['thank', 'make', 'trip', 'home', 'next', 'ill', 'take', 'selfies']"
1340,"['well', 'capture', 'brittany', 'love', 'cloud', 'enjoy', 'ride', 'thank']"
1341,"['thank', 'good']"
1342,"['thank', 'finally', 'gate']"
1343,"['unable', 'serve', 'hot', 'bevies', 'theyve', 'make', 'movies', 'alcohol', 'complimentary', 'work']"
1344,"['land', 'usual', 'great', 'wiyh', 'great', 'crew', 'hello', 'sunny', 'west', 'palm', 'beach']"
1345,"['amaze', 'thank']"
1346,"['beautiful', 'shoot', 'thank', 'share', 'use', 'post', 'welcome', 'quickie']"
1347,"['help', 'problem', 'easily', 'guy', 'rock']"
1348,"['customer', 'service', 'agent', 'bonnie', 'amaze', 'phone', 'deserve', 'promotion']"
1349,"['bos', 'everything', 'current', 'now', 'thank', 'follow']"
1350,"['thank', 'info', 'already', 'now', 'board', 'look', 'forward', 'future', 'upgrade']"
1351,"['things', 'happen', 'wish', 'beach', 'airport']"
1352,"['love', 'will', 'able', 'charge', 'devices', 'domestic', 'thank']"
1353,"['touchdown', 'jfk', 'well', 'pilot']"
1354,"['tux', 'itd']"
1355,"['thank', 'personalize', 'customer', 'service']"
1356,"['know', 'reason', 'favorite', 'read', 'answer', 'twitter', 'globe', 'morning', 'great', 'job']"
1357,['wear']
1358,"['yup', 'know', 'fault', 'ideal', 'sittin', 'hour', 'always', 'staff', 'great']"
1359,"['thank', 'quick', 'reply']"
1360,"['great', 'experience', 'work', 'glenn', 'coles', 'buffaloniagara', 'airport', 'top', 'notch', 'employee']"
1361,"['well', 'last', 'update', 'right', 'direction', 'least', 'ill', 'keep', 'finger', 'cross']"
1362,"['thx', 'social', 'media', 'person']"
1363,"['always', 'love', 'flyfi']"
1364,"['miraculously', 'fix', 'plane', 'shoe']"
1365,"['yall', 'really', 'better', 'american', 'airlines', 'though']"
1366,"['say', 'come']"
1367,"['great', 'service', 'pbi', 'hpn', 'thank']"
1368,['thank']
1369,"['fll', 'mde', 'great', 'great', 'customer', 'service', 'thank', 'mths', 'wait', 'speak', 'human', 'customer', 'service']"
1370,"['okay', 'thank', 'ill', 'check']"
1371,"['good', 'morning', 'sylvie', 'great', 'yourock', 'thank']"
1372,"['come', 'thank', 'followup', 'thats', 'youre']"
1373,"['thank', 'see', 'soon']"
1374,"['thank', 'nyc', 'jfk', 'really', 'safely', 'srsly', 'long', 'take', 'check', 'bag']"
1375,"['thank', 'response', 'next']"
1376,"['great', 'brand', 'new', 'jet', 'great', 'seat', 'beautiful', 'plane', 'big', 'fan']"
1377,"['thank', 'know', 'weather', 'isnt', 'great', 'everyones']"
1378,"['thank', 'thank', 'finally', 'set', 'app', 'yay']"
1379,"['thank', 'take', 'back', 'home', 'today', 'despite', 'pandoras', 'efforts', 'cancel']"
1380,"['maddieflood', 'sound', 'outstanding', 'twitter', 'fee', 'clearly', 'extremely', 'useful', 'keep', 'great', 'work']"
1381,"['amaze', 'short', 'delay', 'give', 'credit', 'literally', 'pretty', 'fault', 'miss']"
1382,"['thank', 'stand', 'line', 'now']"
1383,['thank']
1384,['lburley11']
1385,"['thank', 'bring', 'son', 'home']"
1386,"['hot', 'ladies', 'fly', 'life']"
1387,"['nothing', 'praise', 'help', 'lady', 'make', 'chs', 'tonight']"
1388,"['thank', 'cant', 'wait', 'fly', 'guy']"
1389,['thank']
1390,"['thank', 'speedy', 'time', 'recovery']"
1391,"['thank', 'take', 'care', 'drink', 'inflight', 'entertainment', 'wasnt', 'work']"
1392,"['say', 'delay', 'likely', 'thank']"
1393,"['shes', 'woman', 'whos', 'lead', 'work', 'gate', 'c26']"
1394,"['follow', 'will', 'able', 'thank']"
1395,"['want', 'give', 'warm', 'thank', 'crew', 'airport', 'still', 'area', 'cancel', 'flightlations', 'morning']"
